dialect,standard
かんねが巻きつくとスギやヒノキの生育に悪い,クズが巻き付くと、スギやヒノキの生育に悪い
かんぴんを2本、熱燗にしちょくれ,ちょうしを2本、熱燗にしてくれ
かんまん、全部増税で賄えでは困るで,構わない、全部増税で賄えでは困るよ
おい、娘の家の正月準備はできちょるかみにいっちきい,おい、娘の家の正月準備はできているか見に行って来い
あんしは、見かけは少しきさねえけど心はきれいで,あの人は、見かけは少し汚いけど心はきれいだよ
母ちゃんに散髪してもろうたら、きじになった,母ちゃんに散髪してもらったら、虎刈りになった
山歩きしよったら辛抱でけんじ、きじうちした,山歩きしてたら辛抱できなくて、山で大便した
帰るなり風呂じゃビールじゃと、きじょわしい,帰るなり風呂だビールだと気忙しい
きちいジーンズはいて、山に登るのはきちい,きついジーンズはいて、山に登るのはきつい
近ごろは、公園でぎっこんばったんを見かけんが、気のせいかなあ,近ごろは、公園でシーソーを見かけないけど、気のせいかなあ
信号がきなの時は、もう止まりよえ,信号が黄色の時は、もう止まりなよ
きにょうは大雨じゃった,昨日は大雨だった
うちまで車で送ってもらって、きのどきいなあ,うちまで車で送ってもらって、気の毒だなあ
二人三脚は、足首のきびり方にコツがいる,二人三脚は、足首の結び方にコツがいる
壁からぎぼがでちょるけん、服をひっかけんごと気をつけよ,壁から突起が出てるから、服をひっかけないように気を付けて
じいちゃんは孫にだけは、きもがきるる,じいちゃんは孫にだけは、気前がいい
小さい弟をきもがるから、兄ちゃんはえらい,小さい弟をかわいがるから、兄ちゃんはえらい
火事にならんように、焚火はすぐきやす,火事にならないように、焚火はすぐ消す
ぎゅうらしい恰好せんじ、平服でいこうえ,大げさな恰好しないで、平服でいこうよ
きらすを炊くときは、味が濃い方が好きじゃ,おからを炊くときは、味が濃い方が好きだ
牛乳飲み切らん,牛乳を飲み切れない
牛は、額や頬に、ぎりがある,牛は、額や頬に、つむじがある
タバコの火が上着に落ちて、きりめくねえ,タバコの火が上着に落ちて、焦げ臭い
職場の忘年会のぎんしがたは、社長や,職場の忘年会のお金を出す人は、社長だ
選手たちは今、長いくざりだかに差し掛かりました,選手たちは今、長い下り坂に差し掛かりました
ようそげえ、くされんじょう言い切るなあ,よくそんなに意地の悪いことを言い切るなあ
母ちゃんの作った料理に、くじいうちゃならん,母ちゃんの作った料理に、不満を言ってはいけない
あんしは、ぐずっともいわん我慢強い男じゃ,あの人は、文句ひとつ言わない我慢強い男だ
くぜのミカンは出荷できん,クズのミカンは出荷できない
一人ぐぜると、会議がなかなか終わらん,一人ぐずると、会議がなかなか終わらない
うちん父ちゃんは、大事な時にぐつが切れん,うちの父ちゃんは、大事な時に決断が切れない
あんしはぐつにゅうじゃから、気長にまちよ,あの人は優柔不断だから、気長に待つといいよ
昔は、くどで煮炊きしよった,昔は、かまどで煮炊きしてた
木材のくどろでバイオ発電をするそうじゃ,木材のクズでバイオ発電をするそうだ
枯れた竹をくぶると、バチバチいうて燃ゆる,枯れた竹をくべると、バチバチいって燃える
梅雨になるとくゆるところがある,梅雨になると、かずれるところがある
ひいきのチームが連敗すると、ぐらぐらくる,ひいきのチームが連敗すると、腹が立つ
くりいなっちょるが、海水浴にいったん？,黒くなってるけど、海水浴に行ったの？
そこんリモコンをとっりくりい,そこのリモコンをとってくれ
もったいぶらんじから、ぐるぐるいえ,もったいぶらずに、早く言え
ばあちゃんと母ちゃんは一緒になって、父ちゃんをくるくるまるめこむ,ばあちゃんと母ちゃんは一緒になって、父ちゃんを懐柔する
あの町この町ひがくるる,あの町この町日が暮れる
そげんことんじょう、しちくじゅういわんでくるる,そんなこと、しつこくいわないでくれるか
大人になってぐるると、なかなか帰ってこん,大人になって怠けると、なかなか帰ってこない
大人なら、そんくれえ分かっちゃらなえ,大人なら、それくらい分かってあげないと
あんしは何があってん、くわいとしちょる,あの人は何があって、快としている
そのシュークリームを俺にもくわしい,そのシュークリームを俺にも食わせろ
くんずいて草取りすると、腰が痛くなる,前かがみになって草取りすると、腰が痛くなる
あんしは宴会の席で、くんだりむく,あの人は宴会の席で、下を向く
川まで下りる石段は、くんばの跡や,川まで下りる石段は、水汲み場の跡だ
夏は、げがある方が涼しいからいいと思うで,夏は、ひさしがある方が涼しいからいいと思うよ
あんたげは、何人くらしな,あんたの家は、何人暮らしか
はようけえ,早く来い
このところ、けえ寒い日が続くなあえ,このところ、とても寒い日が続くなあ
自分だけケーキを2個食べるとは、けえしょもねえ,自分だけケーキを2個食べるとは、つまらない
小1の孫がけえた手紙が届いた,小1の孫が書いた手紙が届いた
けえつまらんことしようるうちに、歳をとった,本当につまらないことをしているうちに、歳をとった
大分方言に、そげなげさきい言葉はないで,大分方言に、そんな下作な言葉はないよ
連立を打診しても、相手はけしろっとしちょる,連立を打診しても、相手は知らんふりをしている
